,Unnamed: 0,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
793,793,10000.0,200.0,2048.0,3.0,numba,numba,1.0,9.45776510239,9.44910788536,0.00692582130432,,,,,,,,,,,,,,,,,,,,,,,,,
794,794,10000.0,200.0,2048.0,3.0,numba,numba,2.0,9.49296498299,9.48377132416,0.00745701789856,,,,,,,,,,,,,,,,,,,,,,,,,
795,795,10000.0,200.0,2048.0,3.0,cuda,numba,0.0,4.23206591606,4.22297382355,0.00739002227783,0.00159782397747,1.0,0.0,0.00159782397747,0.00159782397747,0.00130979201198,3.0,6.26754443246e-06,0.000443423986435,0.000428288012743,9.56159979105e-05,3.0,9.18943665423e-07,3.3055998385e-05,3.08159999549e-05,0.000140159998089,3.0,1.24292865829e-06,4.81919981539e-05,4.51520010829e-05,4.21893139648,3.0,0.000371782224143,1.40661022949,1.40578649902
796,796,10000.0,200.0,2048.0,3.0,cuda,numba,1.0,4.23264098167,4.22333908081,0.0074200630188,0.00154265594482,1.0,0.0,0.00154265594482,0.00154265594482,0.00133062398434,3.0,2.17006841804e-05,0.000460287988186,0.000412896007299,9.76320020854e-05,3.0,7.24075832942e-07,3.35679985583e-05,3.20320017636e-05,0.000139327999204,3.0,8.76487327936e-07,4.76800017059e-05,4.57599982619e-05,4.21931188965,3.0,0.000341064778374,1.40676452637,1.40596679688
797,797,10000.0,200.0,2048.0,3.0,cuda,numba,2.0,4.23287677765,4.22365403175,0.00728106498718,0.00152988803387,1.0,0.0,0.00152988803387,0.00152988803387,0.00135984000564,3.0,3.90932982318e-06,0.000457536011934,0.000448096007109,9.41759999841e-05,3.0,6.80831175686e-07,3.23520004749e-05,3.08480001986e-05,0.00013977599889,3.0,6.43722964628e-07,4.73279990256e-05,4.57599982619e-05,4.21969128418,3.0,0.000224762183652,1.40672851563,1.40624597168
798,798,10000.0,1000.0,2.0,3.0,numba,numba,0.0,0.0692892074585,0.0616230964661,0.00708699226379,,,,,,,,,,,,,,,,,,,,,,,,,
799,799,10000.0,1000.0,2.0,3.0,numba,numba,1.0,0.134152889252,0.126464128494,0.00743293762207,,,,,,,,,,,,,,,,,,,,,,,,,
800,800,10000.0,1000.0,2.0,3.0,numba,numba,2.0,0.134142160416,0.12644982338,0.00742173194885,,,,,,,,,,,,,,,,,,,,,,,,,
801,801,10000.0,1000.0,2.0,3.0,cuda,numba,0.0,0.037257194519,0.0292909145355,0.00769591331482,0.00650550413132,1.0,0.0,0.00650550413132,0.00650550413132,0.000602943986654,3.0,2.04905490672e-06,0.000203871995211,0.000199359998107,8.15680008382e-05,3.0,1.35168207737e-06,2.89280004799e-05,2.5631999597e-05,0.000122016001493,3.0,1.9078721353e-06,4.29759994149e-05,3.83040010929e-05,0.0211236476898,3.0,7.0867042106e-06,0.00705123186111,0.00703590393066
802,802,10000.0,1000.0,2.0,3.0,cuda,numba,1.0,0.0377478599548,0.0295720100403,0.00770497322083,0.00644531202316,1.0,0.0,0.00644531202316,0.00644531202316,0.00061526401341,3.0,1.01496357048e-05,0.000218176007271,0.000193440005183,7.94559996575e-05,3.0,9.62958550009e-07,2.73919999599e-05,2.51519996673e-05,0.000121344003826,3.0,2.49244335002e-07,4.08000014722e-05,4.02560010552e-05,0.0214574398994,3.0,0.000158060125679,0.00737599992752,0.00703881597519
