,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
706,25000,sqrt,80,159,3.135363817214966,3.135363817214966,3.622323989868164,0.15424299240112305,,,,,,1181,full condensed,330480824,1,0,24999,12499.5,7216.8783590968196,1.0,,6,,,,1,False
707,25000,sqrt,80,159,3.135089159011841,3.135089159011841,3.621993064880371,0.15606307983398438,,,,,,1181,full condensed,330480824,1,0,24999,12499.5,7216.8783590968196,1.0,,6,,,,2,False
708,25000,sqrt,80,159,3.1348180770874023,3.1348180770874023,3.622544050216675,0.15344691276550293,,,,,,1181,full condensed,330480824,1,0,24999,12499.5,7216.8783590968196,1.0,,6,,,,3,False
709,25000,sqrt,80,159,3.136046886444092,3.136046886444092,3.6236090660095215,0.15488696098327637,,,,,,1181,full condensed,330480824,1,0,24999,12499.5,7216.8783590968196,1.0,,6,,,,4,False
710,25000,sqrt,80,159,39.907198905944824,39.907198905944824,3.3936660289764404,0.15613007545471191,,124.02032899856567,2.6329009532928467,0.1550750732421875,,1181,sparse complete,37505272,0,720,2651,1500.2108800000001,368.69015230898913,1.0,,6,1.0,,6,0,False
711,25000,sqrt,80,159,39.875377893447876,39.875377893447876,3.3877530097961426,0.15488696098327637,,125.00811195373535,2.7098090648651123,0.15708184242248535,,1181,sparse complete,37505272,0,720,2651,1500.2108800000001,368.69015230898913,1.0,,6,1.0,,6,1,False
712,25000,sqrt,80,159,39.883936166763306,39.883936166763306,3.386016845703125,0.1555020809173584,,123.93382501602173,2.6858959197998047,0.15373802185058594,,1181,sparse complete,37505272,0,720,2651,1500.2108800000001,368.69015230898913,1.0,,6,1.0,,6,2,False
713,25000,sqrt,80,159,39.9262580871582,39.9262580871582,3.3872900009155273,0.15651607513427734,,124.5295660495758,2.6791369915008545,0.15644502639770508,,1181,sparse complete,37505272,0,720,2651,1500.2108800000001,368.69015230898913,1.0,,6,1.0,,6,3,False
714,25000,sqrt,80,159,39.90298104286194,39.90298104286194,3.3854780197143555,0.15590405464172363,,124.37946105003357,2.684216022491455,0.15559005737304688,,1181,sparse complete,37505272,0,720,2651,1500.2108800000001,368.69015230898913,1.0,,6,1.0,,6,4,False
715,25000,sqrt,80,159,20.248392820358276,20.248392820358276,1.5753989219665527,0.15501189231872559,,59.90444588661194,2.115391969680786,0.15519404411315918,,1181,sparse condensed const,18752636,0,0,2473,750.10544000000004,482.26503601485189,1.0,,6,1.0,,6,0,False
