running recursive scan test
sum_ref =  445698416
sum_gpu =  [445698416]
CPU took:     1.43504142761  ms
Kernel took:  2.29692459106  ms
True
         887060 function calls (836406 primitive calls) in 1.728 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.006    0.001 argpacker.py:48(from_arguments)
        4    0.000    0.000    0.002    0.000 argpacker.py:58(assign_names)
        1    0.000    0.000    0.000    0.000 argpacker.py:6(ArgPacker)
    84/12    0.000    0.000    0.001    0.000 argpacker.py:66(_assign_names)
        8    0.000    0.000    0.000    0.000 argpacker.py:75(argument_types)
      128    0.000    0.000    0.000    0.000 argpacker.py:80(<genexpr>)
       11    0.001    0.000    0.001    0.000 argpacker.py:83(_unflatten)
        1    0.000    0.000    0.000    0.000 array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array.py:134(devicearray)
        1    0.000    0.000    0.000    0.000 array.py:18(FakeCUDAArray)
        1    0.000    0.000    0.000    0.000 array.py:6(FakeShape)
        1    0.000    0.000    0.001    0.001 array_exprs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array_exprs.py:13(RewriteArrayExprs)
        4    0.000    0.000    0.000    0.000 array_exprs.py:20(__init__)
       59    0.001    0.000    0.002    0.000 array_exprs.py:27(match)
      404    0.000    0.000    0.001    0.000 array_exprs.py:44(<genexpr>)
       26    0.000    0.000    0.017    0.001 arrayobj.py:110(_getitem_array1d)
       26    0.000    0.000    0.030    0.001 arrayobj.py:143(getitem_arraynd_intp)
       57    0.000    0.000    0.001    0.000 arrayobj.py:26(make_array)
       24    0.000    0.000    0.030    0.001 arrayobj.py:321(setitem_array1d)
        3    0.000    0.000    0.002    0.001 arrayobj.py:34(populate_array)
        1    0.001    0.001    0.008    0.008 arrayobj.py:4(<module>)
        2    0.000    0.000    0.001    0.001 arrayobj.py:771(array_size)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:233(_array2string)
      4/2    0.000    0.000    0.001    0.000 arrayprint.py:343(array2string)
