,Unnamed: 0,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
70,70,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.019670009613,0.019670009613,0.00108814239502,0.00355291366577,,0.235132932663,0.0354990959167,0.00358891487122,,66.0,sparse condensed linear,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,0.0,False
71,71,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0198500156403,0.0198500156403,0.00108408927917,0.00358200073242,,0.236634969711,0.0354480743408,0.0036678314209,,66.0,sparse condensed linear,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,1.0,False
72,72,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0197229385376,0.0197229385376,0.00109004974365,0.00355982780457,,0.235761880875,0.0358240604401,0.00357890129089,,66.0,sparse condensed linear,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,2.0,False
73,73,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0198419094086,0.0198419094086,0.00109195709229,0.0035719871521,,0.23610496521,0.0354671478271,0.00360107421875,,66.0,sparse condensed linear,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,3.0,False
74,74,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0198278427124,0.0198278427124,0.00109791755676,0.00350618362427,,0.235851049423,0.0355849266052,0.00359797477722,,66.0,sparse condensed linear,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,4.0,False
75,75,500.0,"sk=300,th=30%",2.0,3.0,0.0152809619904,0.0152809619904,0.00591611862183,0.00319504737854,,,,,,339.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.358,,2.0,,,,0.0,False
76,76,500.0,"sk=300,th=30%",2.0,3.0,0.0154139995575,0.0154139995575,0.00587892532349,0.00309181213379,,,,,,339.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.358,,2.0,,,,1.0,False
77,77,500.0,"sk=300,th=30%",2.0,3.0,0.0153298377991,0.0153298377991,0.00588893890381,0.00313806533813,,,,,,339.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.358,,2.0,,,,2.0,False
78,78,500.0,"sk=300,th=30%",2.0,3.0,0.0153210163116,0.0153210163116,0.00587797164917,0.0031909942627,,,,,,339.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.358,,2.0,,,,3.0,False
79,79,500.0,"sk=300,th=30%",2.0,3.0,0.0153059959412,0.0153059959412,0.00586104393005,0.00310587882996,,,,,,339.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.358,,2.0,,,,4.0,False
